Vehicle Class,ABU ROAD DTO,AHMEDABAD,AHMEDABAD EAST,AIZAWL DTO,AJMER RTO,AKBARPUR(AMBEDKAR NAGAR),AKLUJ,ALIGARH RTO,ALUVA SRTO,ALWAR RTO,AMBALA CITY,AMRAWATI,AMRELI,ANAND,ANGAMALI SRTO,ARAKKONAM UO,ARIYALUR RTO,ARTO OFFICE RAMPUR,ASHOKNAGAR DTO,AURAIYA,AYODHYA RTO,Agra RTO,Ambikapur RTO,Amethi ARTO,Azamgarh RTO,BAGALKOT RTO,BALOTRA DTO,BANASKANTHA,BANDARTO,BANKURA RTO,BARAMATI,BARARA,BARASAT RTO,BAREILLY,BARMER DTO,BASAVAKALYAN ARTO,BASKA,BASTI RTO,BEED,BEGUSARAI,BELLARY RTO,BENGALURU CENTRAL RTO,BENGALURU EAST RTO,BENGALURU NORTH RTO,BENGALURU SOUTH RTO,BENGALURU WEST RTO,BETTIAH,BHABHUA,BHAGALPUR,BHALKI ARTO,BHARATPUR RTO,BHARUCH,BHAVNAGAR,BHILWARA DTO,BHIWANI,BHIWARI DTO,BHOPAL RTO,BHUBANESWAR RTO,BICHOLIM RTO,BIKANER RTO,BIRBHUM RTO,BOKARO,BOLPUR ARTO,BULDHANA,BURARI TAXI UNIT,BURHANPUR DTO,Badaun,Bahraich,Ballia,Barabanki ARTO,Bhadohi(SANT RAVIDAS NAGAR),Bijnor,Bilaspur RTO,Bulandshahar,CACHAR,CHALISGAON,CHANDAPURA BENGALURU RTO,CHANDIGARH UT (RLA AND STA),CHANGLANG,CHATTARPUR ARTO,CHENGALPATTU RTO,CHENNAI (EAST RTO,CHENNAI (SOUTH RTO,CHENNAI (SOUTH-EAST RTO,CHENNAI (SOUTH-WEST RTO,CHENNAI (WEST RTO,CHERTHALA SRTO,CHHATRAPATI SAMBHAJINAGAR,CHHOTAUDAIPUR,CHIKAMANGLUR RTO,CHITRADURGA RTO,CHITTORGARH RTO,CHURU DTO,COIMBATORE (NORTH RTO,CUTTACK RTO,Chitrakoot,Chittoor RTA,DAMAN,DARBHANGA,DATIA DTO,DAUSA RTO,DEHRADUN RTO,DEOGHAR,DEORIA,DEVANAHALLI ARTO,DEWAS DTO,DHAR ARTO,DHARASHIV,DHARMAPURI RTO,DHARWAD EAST RTO,DHARWAD WEST RTO,DHULE,DIBRUGARH,DIDWANA DTO,DINDIGUL RTO,DINDORI DTO,DUDU DTO,DURG RTO,DURGAPORE ARTO,DWARKA,DY REGIONAL TRANSPORT OFFICE HINGOLI,Dantewada DTO,EAST SINGHBHUM (JAMSHEDPUR),ELECTRONIC CITY RTO,ELLNABAD,ERNAKULAM RTO,ERODE RTO,Etah,Etawah,FARIDABAD,FATEHABAD,FATHEHPUR,Farrukhabad,GADAG RTO,GADCHIROLI,GANDHINAGAR,GHAZIABAD,GINGEE UO,GIRIDIH,GULHA,GURUVAYUR SRTO,GWALIOR RTO,Ghazipur,Gorakhpur RTO,Gudiwada RTA,Guntur RTA,HALDWANI RTO,HAMIRPUR(UP),HANUMANGARH DTO,HARDOI,HARIDWAR ARTO,HARUR UO,HASSAN RTO,HAVERI RTO,HAZARIBAG,HISAR,HODEL,HONNAVAR ARTO,HOOGHLY RTO,HOSANGABAD DTO,Hapur,I P ESTATE,ICHALKARANJI,IMPHAL WEST,INDORE RTO,IRINJALAKUDA SRTO,JABALPUR RTO,JAGATPURA JAIPUR ARTO,JAGDALPUR RTO,JAIPUR (FIRST RTO,JAIPUR (SECOND RTO,JALANA,JALORE DTO,JANAKPURI,JAUNPUR,JHAJHAR,JHALAWAR DTO,JIND,JNANABHARATHI RTO,JODHPUR RTO,JPNAGAR,JUNAGADH,Janjgir Champa DTO,Jashpur DTO,JhansiRTO,K G F ARTO,KACHCHH,KAITHAL,KALABURAGI RTO,KALAHANDI RTO,KALLAKURICHI RTO,KALYAN,KAMRUP(RURAL),KANCHEEPURAM RTO,KANKER DTO,KANPUR NAGAR,KARAD,KARAIKUDI UO,KARNAL,KAROLI DTO,KARUNAGAPPALLY SRTO,KARWAR RTO,KASBA ARTO,KASHIPUR ARTO,KATNI ARTO,KAWARDHA DTO,KEKRI DTO,KHANDWA ARTO,KHARGONE ARTO,KISHANGARH DTO,KOLAR RTO,KOLASIB,KOLHAPUR,KOLLAM RTO,KONDOTTY SRTO,KOTA RTO,KOTPUTALI DTO,KOVILPATTI RTO,KRISHNARAJAPURAM RTO,KUMBAKONAM RTO,Kannauj,Kanpur Dehat,Korba DTO,LAKHIMPUR KHERI,LONI ROAD,MADHUGIRI TUMAKURU ARTO,MADIKERI RTO,MADURAI (NORTH RTO,MADURAI (SOUTH RTO,MADURANTAGAM UO,MALAPPURAM RTO,MALDA RTO,MALL ROAD,MANDSAUR ARTO,MANGALORE RTO,MANNARGUDI UO,MAPUSA RTO,MARGAO RTO,MARTHANDAM RTO,MATHURA,MAYUR VIHAR,MAYURBHANJ RTO,MEENAMBAKKAM RTO,MEERUT RTO,METTUPALAYAM RTO,MINICOY,MIRZAPUR RTO,MODASA,MORADABAD,MORENA DTO,MOTIHARI,MUMBAI (CENTRAL),MUMBAI (EAST),MUMBAI (WEST),MURSHIDABAD RTO,MUVATTUPUZHA RTO,MUZAFFARPUR,MYSURU EAST RTO,MYSURU WEST RTO,Mainpuri,Mau,Mungeli DTO,MuzaffarNagar,NAGAMANGALA RTO,NAGAON,NAGAUR DTO,NAGPUR (EAST),NAGPUR (RURAL),NAGPUR (U),NANDED,NARAINGARH,NARSINGHPUR DTO,NASHIK,NAWADA,NAYAGARH RTO,NILAMBUR SRTO,NORTH PARUR SRTO,Narasaraopet RTA,Nellore RTA,Noida,OOTY RTO,OULGARET,PADRAUNA(KUSHI NAGAR),PALAKKAD RTO,PALI RTO,PALWAL,PANAJI RTO,PANVEL,PARAMAKUDI UO,PASCHIM MIDNAPORE RTO,PATAN,PATNA,PEN (RAIGAD),PERNEM RTO,PERUNDURAI RTO,PHALTAN,PONDA RTO,PRATAPGARH,PUDUCHERRY,PUNE,PURBA BURDWAN RTO,PURI RTO,PVD KOLKATA,Pilibhit,Port Blair DTO,Prayagraj RTO,QUEPEM RTO,R.T.O.BORIVALI,RAICHUR RTO,RAJKOT,RAJOURI GARDEN,RAJPUR ROAD/VIU BURARI,RAJSAMAND DTO,RAMANAGAR RTO,RAMANATHAPURAM RTO,RANCHI,RATIA,RATLAM DTO,REDHILLS RTO,REGIONAL TRANSPORT OFFICE BELAGAVI,REWA RTO,REWARI,RISHIKESH ARTO,RLA HAMIRPUR,RLA HAROLI,RLA KANGRA,RLA PALAMPUR,ROHINI,ROHTAK,ROORKEE ARTO,RTA BHIWANI,RTA CHARKI DADRI,RTA Eluru,RTA FARIDABAD,RTA GURGAON,RTA JHAJJAR AT BAHADURGARH,RTA JIND,RTA KAITHAL,RTA KARNAL,RTA KURUKSHETRA,RTA PALWAL,RTA PANCHKULA,RTA PANIPAT,RTA REWARI,RTA ROHTAK,RTA SONEPAT,RTA YNR,RTO AHEMEDNAGAR,RTO AMRITSAR,RTO BARNALA,RTO CHANDRAPUR,RTO GURDASPUR,RTO JALANDHAR,RTO JALGAON,RTO LATUR,RTO LUDHIANA,RTO MANSA,RTO MUKTSAR SAHIB,RTO PATIALA,RTO PIMPRI CHINCHWAD,RTO SAHIBZADA AJIT SINGH NAGAR,RTO SANGRUR,RTO SATARA,RTO SOLAPUR,Raigarh DTO,Raipur RTO,Rajnandgaon ARTO,SABARKANTHA,SAGAR ARTO,SAGAR RTO,SAHAPURA (BHILWARA DTO,SAHARANPUR RTO,SAHARSA,SALEM (WEST RTO,SALTLAKE ARTO,SAMALKHA,SAMASTIPUR,SAMBALPUR RTO,SANGLI,SANKARANKOVIL RTO,SARAI KALE KHAN,SATNA ARTO,SAWAI MADHOPUR DTO,SDM GURUGRAM,SDM INDIRI,SHAHDOL RTO,SHAMLI ARTO,SHILLONG,SHIMOGA RTO,SHIVPURI DTO,SHOLINGANALLUR RTO,SIKAR RTO,SILIGURI ARTO,SINDHUDURG(KUDAL),SINGROLI DTO,SIROHI DTO,SIRSA,SIRSI RTO,SIVASAGAR,SONBHADRA,SONEPAT,SOUTH DELHI,SRI GANGANAGAR DTO,SRIRAMPUR,SULTHANBATHERY SRTO,SURAJMAL VIHAR,SURAT,Sambhal ARTO,Sant Kabir Nagar,Shravasti,Siddharth Nagar(naugarh),Sitapur,Srikakulam RTA,Sultanpur,TAMLUK RTO,TANAKPUR ARTO,TARIKERE CHIKKAMAGALURU ARTO,TENALI RTA,THANE,THENI RTO,THIRUR SRTO,TIPTUR ARTO,TIRUCHI(EAST RTO,TIRUVARUR RTO,TONK DTO,TRANSPORT NAGAR RTO LUCKNOW (UP32),TRIVANDRUM RTO,TUMKUR RTO,UDAIPUR RTO,UDHAM SINGH NAGAR ARTO,UDUPI RTO,UJJAIN RTO,UTHAMAPALAYAM UO,Unnao,VADODARA,VAISHALI,VALSAD,VARANASI RTO,VASAI,VASANT VIHAR,VASCO RTO,VASHI (NEW MUMBAI),VIDISHA DTO,VIKAS NAGAR ARTO,VILUPPURAM RTO,Vijayawada RTA,Vishakapatnam RTA,Vuyyuru UO,WARDHA,WASHIM,WAZIRPUR,WEST SINGHBHUM (CHAIBASA),YALAHANKA RTO,YAWATMAL,Total
Excavator (NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Goods Carrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
Harvester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M-Cycle/Scooter,0,23,2,1,0,0,18,0,1,1,13,5,0,0,1,1,0,0,1,0,0,5,7,0,9,0,0,0,0,0,20,1,0,0,0,0,0,1,7,0,0,0,1,1,0,5,1,0,0,0,11,0,0,1,4,1,1,0,1,9,0,0,0,10,0,0,0,1,0,0,0,0,31,0,0,1,0,1,1,1,0,0,0,0,0,1,1,19,1,0,1,7,1,1,1,0,0,0,0,0,0,16,2,0,1,0,1,20,0,2,3,1,2,0,0,3,0,0,0,0,6,1,7,0,2,1,1,0,1,2,6,0,0,0,0,0,0,0,1,1,1,5,0,0,0,2,0,0,0,1,4,0,1,1,1,6,1,0,0,2,0,14,7,0,2,0,0,0,2,5,2,2,0,0,14,0,1,3,0,2,0,0,15,0,1,0,0,7,0,4,0,8,0,1,0,10,3,0,7,0,0,1,0,0,0,0,0,0,7,0,2,0,22,0,0,6,0,0,24,1,0,0,1,0,0,2,0,1,0,0,0,0,2,2,1,0,0,6,0,0,0,1,0,0,0,5,0,3,0,1,0,134,2,10,0,1,0,0,3,0,9,1,0,2,2,1,7,9,13,43,2,10,7,0,0,0,1,2,1,1,0,1,0,1,0,1,6,41,1,0,0,0,2,7,1,4,2,0,4,45,0,0,0,6,1,0,2,10,1,0,0,0,7,0,0,18,0,0,0,0,2,2,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,6,21,5,0,1,2,36,1,0,11,29,2,5,0,0,0,2,0,0,0,0,0,1,0,1,30,0,0,1,0,10,2,2,0,0,0,0,0,0,0,6,0,1,2,0,1,0,4,1,1,33,0,0,1,0,0,0,0,0,4,0,0,0,0,1,22,0,0,2,0,0,0,2,0,5,0,3,0,0,0,0,5,0,1,2,23,0,3,12,0,0,0,0,2,0,55,3,0,1,3,7,1368
Moped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,75
Motor Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Motor Car,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,33,82,47,83,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,1,0,27,0,10,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,8,1,1,0,1,1,0,0,0,0,0,0,0,1,2,7,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,61,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,1,0,0,1,0,2,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,39,0,4,0,607
Road Roller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
